Episode 157/400 | Steps 1272 | Raw 0.0 | Shaped 127.20 | Eps 0.4946
Episode 158/400 | Steps 467 | Raw 0.0 | Shaped 46.70 | Eps 0.4897
Episode 159/400 | Steps 773 | Raw 0.0 | Shaped 77.30 | Eps 0.4880
Episode 160/400 | Steps 838 | Raw 0.0 | Shaped 83.80 | Eps 0.4850
Eval ep 160: mean 751.3 | [688, 838, 728]
Episode 161/400 | Steps 1046 | Raw 0.0 | Shaped 104.60 | Eps 0.4818
Episode 162/400 | Steps 980 | Raw 0.0 | Shaped 98.00 | Eps 0.4779
Episode 163/400 | Steps 689 | Raw 0.0 | Shaped 68.90 | Eps 0.4741
Episode 164/400 | Steps 1412 | Raw 0.0 | Shaped 141.20 | Eps 0.4715
Episode 165/400 | Steps 887 | Raw 0.0 | Shaped 88.70 | Eps 0.4662
Episode 166/400 | Steps 1049 | Raw 0.0 | Shaped 104.90 | Eps 0.4628
Episode 167/400 | Steps 461 | Raw 0.0 | Shaped 46.10 | Eps 0.4588
Episode 168/400 | Steps 971 | Raw 0.0 | Shaped 97.10 | Eps 0.4570
Episode 169/400 | Steps 775 | Raw 0.0 | Shaped 77.50 | Eps 0.4534
Episode 170/400 | Steps 457 | Raw 0.0 | Shaped 45.70 | Eps 0.4504
Eval ep 170: mean 767.7 | [963, 903, 437]
Episode 171/400 | Steps 1286 | Raw 0.0 | Shaped 128.60 | Eps 0.4487
Episode 172/400 | Steps 975 | Raw 0.0 | Shaped 97.50 | Eps 0.4438
Episode 173/400 | Steps 939 | Raw 0.0 | Shaped 93.90 | Eps 0.4401
Episode 174/400 | Steps 1068 | Raw 0.0 | Shaped 106.80 | Eps 0.4365
Episode 175/400 | Steps 678 | Raw 0.0 | Shaped 67.80 | Eps 0.4325
Episode 176/400 | Steps 768 | Raw 0.0 | Shaped 76.80 | Eps 0.4299
Episode 177/400 | Steps 1068 | Raw 0.0 | Shaped 106.80 | Eps 0.4270
Episode 178/400 | Steps 682 | Raw 0.0 | Shaped 68.20 | Eps 0.4229
Episode 179/400 | Steps 1073 | Raw 0.0 | Shaped 107.30 | Eps 0.4203
Episode 180/400 | Steps 1964 | Raw 0.0 | Shaped 196.40 | Eps 0.4162
Eval ep 180: mean 1023.0 | [728, 1647, 694]
Episode 181/400 | Steps 775 | Raw 0.0 | Shaped 77.50 | Eps 0.4088
Episode 182/400 | Steps 643 | Raw 0.0 | Shaped 64.30 | Eps 0.4058
Episode 183/400 | Steps 731 | Raw 0.0 | Shaped 73.10 | Eps 0.4034
Episode 184/400 | Steps 723 | Raw 0.0 | Shaped 72.30 | Eps 0.4006
Episode 185/400 | Steps 952 | Raw 0.0 | Shaped 95.20 | Eps 0.3979
Episode 186/400 | Steps 775 | Raw 0.0 | Shaped 77.50 | Eps 0.3942
Episode 187/400 | Steps 616 | Raw 0.0 | Shaped 61.60 | Eps 0.3913
Episode 188/400 | Steps 772 | Raw 0.0 | Shaped 77.20 | Eps 0.3890
Episode 189/400 | Steps 1018 | Raw 0.0 | Shaped 101.80 | Eps 0.3860
Episode 190/400 | Steps 982 | Raw 0.0 | Shaped 98.20 | Eps 0.3822
Eval ep 190: mean 1014.7 | [512, 2004, 528]
Episode 191/400 | Steps 1057 | Raw 0.0 | Shaped 105.70 | Eps 0.3784
Episode 192/400 | Steps 1067 | Raw 0.0 | Shaped 106.70 | Eps 0.3744
Episode 193/400 | Steps 1017 | Raw 0.0 | Shaped 101.70 | Eps 0.3704
Episode 194/400 | Steps 490 | Raw 0.0 | Shaped 49.00 | Eps 0.3665
